Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
347,0,"        0"," 28 step",Free,11:29:05,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
348,82,"        0",128 step adv,Idle,11:29:05,Release,none,0,6F 53,Fwd,false,false,false,false,true,false,false,false,true
349,3203,(Consist),128 step,Common,11:36:36,Release,sub(158),9357,53 17,Rev,false,false,false,false,false,false,false,false,false
350,930,(Consist),128 step,Common,11:36:37,Release,sub(181),0,53 17,Fwd,false,false,false,false,false,false,false,false,true
351,5918,(Consist),128 step,Common,11:36:37,Release,sub(352),6037,53 67,Fwd,false,false,false,false,false,false,false,false,true
352,6037,"        0",128 step,Idle,11:29:06,Release,none,0,53 67,Rev,false,false,false,false,false,false,false,false,false
353,257,"        0",128 step,Idle,11:29:06,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
354,157,(Consist),128 step,In Use,11:36:37,Release,sub(347),0,42 15,Fwd,true,false,false,false,false,false,false,false,true
355,6741,"        0",128 step,Idle,11:29:06,Release,none,0,65 1F,Fwd,true,false,false,false,false,false,false,false,false
356,674,"        0",128 step,Idle,11:29:06,Release,none,0,65 1F,Fwd,false,false,false,false,false,false,false,false,false
357,8,"        0",128 step,Idle,11:29:06,Release,none,0,53 17,Fwd,true,false,false,false,false,false,false,false,false
358,1,"        0",128 step,Idle,11:29:06,Release,none,0,53 5B,Fwd,false,false,false,false,false,false,false,false,false
359,4449,"        0",128 step,Idle,11:29:06,Release,none,0,42 48,Fwd,false,false,false,false,false,false,false,false,true
360,941,(Consist),128 step,Common,11:36:38,Release,sub(181),0,53 17,Fwd,false,false,false,false,false,false,false,false,true
361,510,"        0",128 step,Idle,11:29:06,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,true
362,4,"        0",128 step,Idle,11:29:06,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
363,3848,"        0",128 step,Idle,11:29:06,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,true
364,187,"        0",128 step,Idle,11:29:06,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,true
365,409,"        0",128 step,Idle,11:29:06,Release,none,0,65 0A,Rev,true,false,false,false,false,true,false,false,false
